start_year,feature,importance
2009,return_lag_1,0.12093814212202973
2009,return_lag_2,0.08511013494805399
2009,return_lag_3,0.06724880053677976
2009,return_lag_4,0.13315444387697614
2009,return_lag_5,0.11717917238842557
2009,return_mean_5,0.037729574824569505
2009,return_mean_20,0.09361598204584673
2009,return_std_5,0.0868491369411065
2009,return_std_20,0.11614887478542071
2009,return_sum_5,0.0363084963774777
2009,return_sum_20,0.10571724115331375
2018,return_lag_1,0.09974142589294047
2018,return_lag_2,0.08641247724069177
2018,return_lag_3,0.0978902663353407
2018,return_lag_4,0.13636700169783356
2018,return_lag_5,0.08607519496056182
2018,return_mean_5,0.0427083438093788
2018,return_mean_20,0.08517619693710228
2018,return_std_5,0.06550586882555669
2018,return_std_20,0.15430844388685702
2018,return_sum_5,0.060341585127794604
2018,return_sum_20,0.08547319528594234
2024,return_lag_1,0.1057629417910318
2024,return_lag_2,0.10135490319756661
2024,return_lag_3,0.13691435352675274
2024,return_lag_4,0.07193309970600656
2024,return_lag_5,0.14063725384927206
2024,return_mean_5,0.06823288846351439
2024,return_mean_20,0.04923994150912304
2024,return_std_5,0.08793967534470584
2024,return_std_20,0.10535913330257007
2024,return_sum_5,0.07110667388357708
2024,return_sum_20,0.06151913542587989
