model,start_year,n_train_prices,MAE,RMSE,MAPE_percent,final_absolute_error,final_percentage_error,n_train_samples,train_start_date,train_end_date
Random_Walk_constant,baseline,3982,803.369803968254,941.9290543078304,21.951306638997767,1713.4867000000004,39.60306534496411,,,
Random_Forest_recursive,2009,3981,722.372865870129,848.5692196172929,19.729872678859486,1547.8086186369105,35.77382063448533,3960.0,2009-01-02,2024-12-23
Random_Forest_recursive,2018,1736,673.2245458491004,791.4469940250308,18.386501159037888,1444.3791192786707,33.383300053449425,1715.0,2018-01-02,2024-12-23
Random_Forest_recursive,2024,244,121.86434799492689,159.65350789050848,3.4787963742982995,191.74020915147958,4.431607220693997,223.0,2024-01-02,2024-12-23
