model,n_estimators,train_time_seconds,predict_time_seconds,total_time_seconds,mae_price,rmse_price,mape_price_percent,mae_return,rmse_return
Random Forest,300,3.028789791998861,0.028228333001607098,3.057018125000468,30.97728883926355,43.16813343893309,0.8939244108871327,0.008954307092407486,0.012098565238568233
Random Forest,1000,9.460414542001672,0.07857637500273995,9.538990917004412,30.839150778491057,42.957637604594105,0.8900648235365402,0.008915787184292994,0.012043640666344044
Random Forest,10000,97.02071625000099,0.7614482499993755,97.78216450000036,30.912403756204924,43.02416795711459,0.8915772204131848,0.008931907446542858,0.012054556160934357
XGBoost,300,0.20707983399915975,0.0022964580057305284,0.20937629200489027,31.16237099791658,43.90021020871355,0.8968266923113931,0.008978335863276257,0.012213975562068689
XGBoost,1000,0.6329600419994676,0.0012960000021848828,0.6342560420016525,31.934144026752186,45.01055603804814,0.9180380125867259,0.009189341623985787,0.01252247891903126
XGBoost,10000,6.075252124996041,0.004287625000870321,6.079539749996911,35.68940586553209,49.05790919707873,1.0249706696555572,0.0102621346059167,0.013657553035800685
