feature,importance
return_lag_4,0.13315444387697614
return_lag_1,0.12093814212202973
return_lag_5,0.11717917238842557
return_std_20,0.11614887478542071
return_sum_20,0.10571724115331375
return_mean_20,0.09361598204584673
return_std_5,0.0868491369411065
return_lag_2,0.08511013494805399
return_lag_3,0.06724880053677976
return_mean_5,0.037729574824569505
return_sum_5,0.0363084963774777
