date,real_price,random_walk_constante,rf_recursivo_desde_2009,xgboost_recursivo_desde_2009,rf_recursivo_desde_2018,xgboost_recursivo_desde_2018,rf_recursivo_desde_2024,xgboost_recursivo_desde_2024
2024-12-24,2613.165,2613.165,2613.165,2613.165,2613.165,2613.165,2613.165,2613.165
2024-12-26,2617.245,2613.165,2614.336797024508,2616.378262197375,2614.433005167135,2612.344006057084,2618.499273504317,2617.9744575923683
2024-12-27,2629.585,2613.165,2614.1340854226655,2612.328440874755,2615.064687776339,2614.127172200821,2625.4784786424348,2629.4239887810577
2024-12-30,2615.715,2613.165,2613.9177130437797,2611.1416428162242,2613.5604659634414,2609.770765177894,2630.93524234158,2632.9782183515404
2025-01-02,2603.195,2613.165,2614.016463884025,2611.297901530983,2613.838244012494,2609.885564368934,2643.7400049758685,2653.235112970525
2025-01-03,2656.15,2613.165,2614.5116323093293,2610.8694095140168,2614.383719281817,2613.143329154761,2647.6420643230013,2663.8415909795526
2025-01-06,2641.6583,2613.165,2615.09771578891,2612.557574663372,2615.3455462628554,2618.450229865282,2653.9879766603276,2644.0393584934122
2025-01-07,2637.2033,2613.165,2615.6894846140117,2613.9958098127313,2616.147519231204,2622.8854781587,2658.7867221711317,2654.744924519531
2025-01-08,2652.7483,2613.165,2616.3061787498805,2616.408314433232,2617.036446820376,2627.9970451549098,2665.086788008448,2668.7518980673754
2025-01-09,2659.3017,2613.165,2616.9747924093126,2620.104019622665,2618.055926271697,2633.121393278889,2671.6546665282667,2685.2770450096705
2025-01-10,2665.5133,2613.165,2617.6237634111335,2623.804945035857,2618.9592833850033,2638.407343494088,2677.923823294914,2700.7998176158776
2025-01-13,2695.0617,2613.165,2618.272895348154,2627.511098046432,2620.0343683945307,2643.626847119157,2683.4264847967365,2717.9709330945016
2025-01-14,2660.93,2613.165,2618.9198688246593,2630.750144651649,2621.0721012261747,2648.860773257672,2689.717327974022,2709.5550032999918
2025-01-15,2669.615,2613.165,2619.5997108994875,2634.740516455952,2622.152773513506,2653.8072916804044,2697.2847653203653,2728.7543686054337
2025-01-16,2691.6033,2613.165,2620.2493328422293,2638.307900077395,2623.220756861826,2658.7029391869696,2703.591976199127,2728.9993141362725
2025-01-17,2722.635,2613.165,2620.8991158815948,2642.1150534370986,2624.2629779451167,2663.7153783167087,2709.449328908209,2738.6356791546436
2025-01-20,2711.845,2613.165,2621.5490600575336,2645.8908497623775,2625.305613108993,2668.79061402824,2714.8946799760797,2739.264788412548
2025-01-21,2707.5583,2613.165,2622.1991654100048,2650.428722035767,2626.3486625179708,2671.7951719428406,2719.234317903754,2741.6498790038077
2025-01-22,2742.5767,2613.165,2622.849431978978,2653.963950642332,2627.392126336633,2675.010776254776,2724.0982760554843,2744.0200511375556
