date,real_price,random_walk_constante,rf_recursivo_desde_2009,rf_recursivo_desde_2018,rf_recursivo_desde_2024
2024-12-24,2613.165,2613.165,2613.165,2613.165,2613.165
2024-12-26,2617.245,2613.165,2614.336797024508,2614.433005167135,2618.499273504317
2024-12-27,2629.585,2613.165,2614.1340854226655,2615.064687776339,2625.4784786424348
2024-12-30,2615.715,2613.165,2613.9177130437797,2613.5604659634414,2630.93524234158
2025-01-02,2603.195,2613.165,2614.016463884025,2613.838244012494,2643.7400049758685
2025-01-03,2656.15,2613.165,2614.5116323093293,2614.383719281817,2647.6420643230013
2025-01-06,2641.6583,2613.165,2615.09771578891,2615.3455462628554,2653.9879766603276
2025-01-07,2637.2033,2613.165,2615.6894846140117,2616.147519231204,2658.7867221711317
2025-01-08,2652.7483,2613.165,2616.3061787498805,2617.036446820376,2665.086788008448
2025-01-09,2659.3017,2613.165,2616.9747924093126,2618.055926271697,2671.6546665282667
2025-01-10,2665.5133,2613.165,2617.6237634111335,2618.9592833850033,2677.923823294914
2025-01-13,2695.0617,2613.165,2618.272895348154,2620.0343683945307,2683.4264847967365
2025-01-14,2660.93,2613.165,2618.9198688246593,2621.0721012261747,2689.717327974022
2025-01-15,2669.615,2613.165,2619.5997108994875,2622.152773513506,2697.2847653203653
2025-01-16,2691.6033,2613.165,2620.2493328422293,2623.220756861826,2703.591976199127
2025-01-17,2722.635,2613.165,2620.8991158815948,2624.2629779451167,2709.449328908209
2025-01-20,2711.845,2613.165,2621.5490600575336,2625.305613108993,2714.8946799760797
2025-01-21,2707.5583,2613.165,2622.1991654100048,2626.3486625179708,2719.234317903754
2025-01-22,2742.5767,2613.165,2622.849431978978,2627.392126336633,2724.0982760554843
2025-01-23,2756.9833,2613.165,2623.4998598044326,2628.523839151924,2729.7756014270867
2025-01-24,2756.4683,2613.165,2624.1504489263575,2629.568167181096,2735.7242261439815
2025-01-27,2774.3,2613.165,2624.801199384752,2630.6129101279553,2741.250060822021
2025-01-28,2734.0233,2613.165,2625.4521112196257,2631.658068157351,2746.550562547792
2025-01-29,2758.7317,2613.165,2626.103184470997,2632.7036414341983,2752.4519279661
2025-01-30,2752.6867,2613.165,2626.7544191788948,2633.749630123477,2758.801442880529
2025-01-31,2793.1883,2613.165,2627.405815383358,2634.796034390233,2765.385395996687
2025-02-03,2809.7533,2613.165,2628.0573731244353,2635.8428543995783,2771.6158823003148
2025-02-04,2818.3383,2613.165,2628.7090924421855,2636.890090316689,2777.2797333316817
2025-02-05,2842.715,2613.165,2629.3609733766775,2637.937742306808,2782.8596188960587
2025-02-06,2873.2283,2613.165,2630.0130159679893,2638.985810535244,2788.723031500509
2025-02-07,2850.0917,2613.165,2630.66522025621,2640.0342951673706,2795.0566815552047
2025-02-10,2858.0483,2613.165,2631.3175862814373,2641.0831963686273,2801.629922114367
2025-02-11,2900.815,2613.165,2631.97011408378,2642.1325143045196,2807.9420682921973
2025-02-12,2904.675,2613.165,2632.6228037033566,2643.1822491406188,2813.936729976254
2025-02-13,2904.5633,2613.165,2633.275655180295,2644.2324010425614,2819.590263810179
2025-02-14,2916.7933,2613.165,2633.9286685547336,2645.2829701760506,2825.531066925058
2025-02-17,2890.7233,2613.165,2634.5818438668207,2646.3339567068547,2831.7614477717307
2025-02-18,2898.9133,2613.165,2635.2351811567146,2647.385360800808,2838.328768415735
2025-02-19,2931.4517,2613.165,2635.888680464583,2648.437182623811,2844.723598063135
2025-02-20,2926.1133,2613.165,2636.542341830604,2649.48942234183,2850.853879511993
2025-02-21,2942.4833,2613.165,2637.196165294966,2650.542080120897,2856.6000630307585
2025-02-24,2939.2083,2613.165,2637.850150897866,2651.59515612711,2862.6188448269068
2025-02-25,2943.4967,2613.165,2638.5042986795133,2652.648650526633,2868.9310053375125
2025-02-26,2901.705,2613.165,2639.158608680125,2653.7025634856964,2875.584528300191
2025-02-27,2914.1183,2613.165,2639.813080939929,2654.7568951705966,2882.0632961581664
2025-02-28,2880.4683,2613.165,2640.4677154991637,2655.811645747696,2888.274043371324
2025-03-03,2846.808,2613.165,2641.1225123980767,2656.866815383422,2894.095651004381
2025-03-04,2890.8183,2613.165,2641.7774716769254,2657.9224042442697,2900.1934350260253
2025-03-05,2913.6083,2613.165,2642.4325933759783,2658.9784124967996,2906.5884486362975
2025-03-06,2918.5417,2613.165,2643.0878775355127,2660.0348403076387,2913.329305404926
2025-03-07,2918.2833,2613.165,2643.7433241958165,2661.0916878434796,2919.893113242184
2025-03-10,2908.195,2613.165,2644.3989333971876,2662.148955271082,2926.1853824091936
2025-03-11,2888.9033,2613.165,2645.054705179934,2663.206642757271,2932.083404169653
2025-03-12,2918.1567,2613.165,2645.710639584373,2664.264750468938,2938.2612273960103
2025-03-13,2938.17,2613.165,2646.3667366508325,2665.323278573042,2944.740181631545
2025-03-14,2980.215,2613.165,2647.0229964196506,2666.382227236607,2951.569518545244
2025-03-17,2988.7683,2613.165,2647.679418931175,2667.4415966267234,2958.219482592253
2025-03-18,2998.21,2613.165,2648.336004225763,2668.5013869105487,2964.5943437661585
2025-03-19,3033.1933,2613.165,2648.992752343783,2669.5615982553063,2970.569782661992
2025-03-20,3032.4883,2613.165,2649.6496633256124,2670.6222308282863,2976.828695683616
2025-03-21,3038.665,2613.165,2650.3067372116393,2671.683284796845,2983.3926923448157
2025-03-24,3015.765,2613.165,2650.9639740422613,2672.7447603284054,2990.311670789495
2025-03-25,3008.195,2613.165,2651.6213738578863,2673.8066575904572,2997.0489219283068
2025-03-26,3022.05,2613.165,2652.278936698932,2674.868976750556,3003.507459207615
2025-03-27,3017.675,2613.165,2652.9366626058263,2675.9317179763248,3009.561331412227
2025-03-28,3050.9467,2613.165,2653.5945516190077,2676.9948814354525,3015.902398609669
2025-03-31,3080.9217,2613.165,2654.2526037789235,2678.058467295695,3022.552553959113
2025-04-01,3118.2217,2613.165,2654.910819126032,2679.122475724875,3029.5623505649755
2025-04-02,3112.3367,2613.165,2655.569197700801,2680.1869068908813,3036.3880345215434
2025-04-03,3125.2467,2613.165,2656.2277395437086,2681.25176096167,3042.9313462345817
2025-04-04,3105.7217,2613.165,2656.886444695243,2682.3170381052632,3049.064681259617
2025-04-07,3023.775,2613.165,2657.545313195902,2683.382738489751,3055.488980984435
2025-04-08,2971.095,2613.165,2658.2043450861943,2684.4488622832887,3062.226425936708
2025-04-09,2986.17,2613.165,2658.8635404066376,2685.5154096540996,3069.328232778345
2025-04-10,3064.2433,2613.165,2659.5228991977606,2686.5823807704733,3076.2435103173625
2025-04-11,3168.4633,2613.165,2660.182421500101,2687.6497758007663,3082.872709209061
2025-04-14,3235.1017,2613.165,2660.842107354208,2688.7175949134025,3089.086550079482
2025-04-15,3208.55,2613.165,2661.5019568006396,2689.7858382768723,3095.5951748376215
2025-04-16,3228.485,2613.165,2662.161969879964,2690.8545060597326,3102.421055151636
2025-04-17,3336.1667,2613.165,2662.82214663276,2691.923598430608,3109.6160799507493
2025-04-21,3317.85,2613.165,2663.4824870996163,2692.99311555819,3116.6221270730493
2025-04-22,3423.715,2613.165,2664.1429913211314,2694.0630576112367,3123.3383404941724
2025-04-23,3387.0833,2613.165,2664.803659337914,2695.1334247585733,3129.633743925634
2025-04-24,3282.6933,2613.165,2665.464491190583,2696.2042171690928,3136.227800563218
2025-04-25,3336.3367,2613.165,2666.1254869197674,2697.2754350117543,3143.14327703706
2025-04-28,3292.2467,2613.165,2666.786646566106,2698.347078455585,3150.4327433678454
2025-04-29,3345.0367,2613.165,2667.4479701702476,2699.4191476696783,3157.530751510388
2025-04-30,3318.34,2613.165,2668.109457772852,2700.4916428231954,3164.3351216092487
2025-05-02,3302.9583,2613.165,2668.7711094145875,2701.5645640853645,3170.7131581878034
2025-05-05,3228.4967,2613.165,2669.4329251361337,2702.637911625481,3177.3937680793615
