Fecha,Precio,Return
2009-01-02,869.75,-0.012000144003110521
2009-01-05,874.5,0.005446480426605273
2009-01-06,853.5,-0.02430675222416143
2009-01-07,848.25,-0.006170138570155787
2009-01-08,848.5,0.00029468100994144706
2009-01-09,855.75,0.008508192736013725
2009-01-12,847.25,-0.009982466923133995
2009-01-13,827.0,-0.024191115463469377
2009-01-14,826.5,-0.0006047777626124197
2009-01-15,821.5,-0.006067979783756056
2009-01-16,810.0,-0.014097689810838336
2009-01-19,833.75,0.028899349563349042
2009-01-20,833.0,-0.0008999550629907513
2009-01-21,853.25,0.02401894561997368
2009-01-22,849.25,-0.004698980746123116
2009-01-23,860.0,0.012578782206860185
2009-01-26,875.75,0.018148272830042746
2009-01-27,910.25,0.038638624977946574
2009-01-28,897.5,-0.014106166693108841
2009-01-29,895.25,-0.0025101114838918625
2009-01-30,892.25,-0.0033566465082723496
2009-02-02,919.5,0.030083681674106112
2009-02-03,918.25,-0.0013603593445991225
2009-02-04,904.5,-0.015087379864426879
2009-02-05,905.0,0.0005526388645764054
2009-02-06,920.0,0.01643872634315994
2009-02-09,913.0,-0.007637789448117538
2009-02-10,895.0,-0.019912162320113152
2009-02-11,909.75,0.016346118217413802
2009-02-12,938.0,0.030580112513955517
2009-02-13,943.25,0.005581409838195266
2009-02-16,935.5,-0.008250213130275519
2009-02-17,942.5,0.007454773608021466
2009-02-18,968.0,0.026696167954411123
2009-02-19,968.0,0.0
2009-02-20,980.5,0.012830558359823897
2009-02-23,989.0,0.008631685986311203
2009-02-24,985.75,-0.0032915588649755465
2009-02-25,984.25,-0.001522842933889651
2009-02-26,978.5,-0.0058591429877159285
2009-02-27,936.5,-0.04387126495198766
2009-03-02,952.0,0.01641551290722219
2009-03-03,937.25,-0.015614979175343852
2009-03-04,913.75,-0.02539304455203311
2009-03-05,908.5,-0.005762123227762425
2009-03-06,913.0,0.004940992758742628
2009-03-09,936.0,0.02487959588262347
2009-03-10,923.75,-0.01317400421518047
2009-03-11,901.5,-0.024381429619039607
2009-03-12,899.5,-0.002220989252784165
2009-03-13,925.25,0.028224917875677463
2009-03-16,928.0,0.002967761519935146
2009-03-17,919.5,-0.009201688741824766
2009-03-18,915.5,-0.004359679929810351
2009-03-19,893.25,-0.024603867211046272
2009-03-20,956.5,0.06841429197678829
2009-03-23,956.5,0.0
2009-03-24,949.25,-0.007608589768395872
2009-03-25,923.75,-0.02723072684950023
2009-03-26,929.0,0.0056672665514270575
2009-03-27,938.25,0.009907699201291696
2009-03-30,924.0,-0.015304366373446033
2009-03-31,928.0,0.00431966114451638
