Fecha,Precio
2010-02-15,1082.0
2010-02-16,1098.25
2010-02-17,1115.25
2010-02-18,1119.0
2010-02-19,1118.0
2010-02-22,1112.75
2010-02-23,1115.25
2010-02-24,1107.0
2010-02-25,1103.0
2010-02-26,1094.5
2010-03-01,1108.25
2010-03-02,1114.0
2010-03-03,1126.5
2010-03-04,1136.5
2010-03-05,1134.5
2010-03-08,1135.0
2010-03-09,1125.75
2010-03-10,1115.75
2010-03-11,1120.5
2010-03-12,1104.0
2010-03-15,1106.25
2010-03-16,1104.25
2010-03-17,1124.75
2010-03-18,1121.75
2010-03-19,1122.75
2010-03-22,1105.5
2010-03-23,1097.25
2010-03-24,1101.5
2010-03-25,1090.75
2010-03-26,1093.0
2010-03-29,1096.5
2010-03-30,1107.5
2010-03-31,1107.0
2010-04-01,1115.5
2010-04-05,1123.5
2010-04-06,1123.5
2010-04-07,1132.75
2010-04-08,1142.0
2010-04-09,1148.0
2010-04-12,1152.5
2010-04-13,1158.75
2010-04-14,1148.25
2010-04-15,1153.75
2010-04-16,1154.5
2010-04-19,1151.5
2010-04-20,1136.25
2010-04-21,1144.75
2010-04-22,1143.0
2010-04-23,1133.75
2010-04-26,1139.5
2010-04-27,1154.5
2010-04-28,1149.5
2010-04-29,1161.0
2010-04-30,1166.75
2010-05-03,1179.25
2010-05-04,1179.25
2010-05-05,1185.0
2010-05-06,1165.0
2010-05-07,1185.25
2010-05-10,1202.25
2010-05-11,1196.5
2010-05-12,1222.5
2010-05-13,1237.5
2010-05-14,1237.5
2010-05-17,1236.5
2010-05-18,1236.0
2010-05-19,1216.75
2010-05-20,1195.0
2010-05-24,1192.0
2010-05-25,1187.0
2010-05-26,1198.25
2010-05-27,1212.0
2010-05-28,1211.0
2010-05-31,1207.5
2010-06-01,1207.5
2010-06-02,1227.75
2010-06-03,1215.0
2010-06-04,1215.0
2010-06-07,1203.5
2010-06-08,1215.0
2010-06-09,1246.0
2010-06-10,1233.5
2010-06-11,1217.5
2010-06-14,1220.0
2010-06-15,1223.75
2010-06-16,1225.0
2010-06-17,1234.5
2010-06-18,1245.0
2010-06-21,1256.0
2010-06-22,1254.5
2010-06-23,1236.0
2010-06-24,1226.5
2010-06-25,1236.25
2010-06-29,1254.0
2010-06-30,1234.5
2010-07-01,1244.0
2010-07-02,1234.0
2010-07-05,1201.5
2010-07-06,1208.0
2010-07-07,1195.0
2010-07-08,1193.25
2010-07-09,1193.5
2010-07-12,1208.75
2010-07-13,1205.5
2010-07-14,1216.0
2010-07-15,1207.0
2010-07-19,1208.0
2010-07-20,1181.0
2010-07-21,1183.0
2010-07-22,1191.5
2010-07-23,1199.5
2010-07-26,1190.5
2010-07-27,1183.5
2010-07-28,1168.0
2010-07-29,1157.0
2010-07-30,1162.5
2010-08-02,1169.0
2010-08-03,1188.5
2010-08-04,1187.5
2010-08-05,1199.5
2010-08-06,1192.5
2010-08-09,1207.75
2010-08-10,1203.0
2010-08-11,1192.5
2010-08-12,1205.5
2010-08-13,1213.0
2010-08-16,1214.25
2010-08-17,1223.5
2010-08-18,1226.0
2010-08-19,1218.0
2010-08-20,1233.5
2010-08-23,1223.5
2010-08-24,1226.0
2010-08-25,1222.0
2010-08-26,1237.5
2010-08-27,1237.0
2010-08-30,1235.0
2010-08-31,1235.0
2010-09-01,1246.0
2010-09-02,1246.5
2010-09-03,1248.5
2010-09-06,1240.5
2010-09-07,1249.0
2010-09-08,1256.75
2010-09-09,1255.0
2010-09-10,1255.0
2010-09-13,1246.5
2010-09-14,1243.75
2010-09-15,1265.5
2010-09-16,1267.0
2010-09-21,1272.5
2010-09-22,1275.0
2010-09-23,1293.5
2010-09-24,1290.75
2010-09-27,1297.0
2010-09-28,1297.0
2010-09-29,1294.0
2010-09-30,1307.5
2010-10-01,1307.0
2010-10-04,1316.25
2010-10-05,1313.5
2010-10-06,1350.5
2010-10-07,1346.5
2010-10-08,1347.5
2010-10-12,1341.5
2010-10-13,1348.5
2010-10-14,1365.5
2010-10-15,1373.25
2010-10-18,1367.5
2010-10-19,1367.25
2010-10-20,1339.0
2010-10-21,1339.0
2010-10-22,1343.5
2010-10-25,1344.5
2010-10-26,1337.5
2010-10-27,1338.5
2010-10-28,1324.5
2010-10-29,1333.5
2010-11-02,1307.0
2010-11-03,1316.25
2010-11-04,1345.5
2010-11-05,1381.0
2010-11-08,1395.5
2010-11-09,1388.5
2010-11-10,1421.0
2010-11-11,1390.5
2010-11-12,1398.5
2010-11-15,1388.5
2010-11-16,1368.5
2010-11-17,1349.0
2010-11-18,1337.5
2010-11-19,1350.25
2010-11-22,1342.5
2010-11-23,1356.5
2010-11-24,1377.5
2010-11-25,1372.5
2010-11-26,1373.25
2010-11-29,1355.0
2010-11-30,1357.0
2010-12-01,1383.5
2010-12-02,1385.5
2010-12-03,1389.0
2010-12-06,1403.5
2010-12-07,1415.25
2010-12-09,1420.0
2010-12-10,1391.25
2010-12-13,1375.25
2010-12-14,1399.0
2010-12-15,1394.5
2010-12-16,1388.75
2010-12-17,1363.0
2010-12-20,1368.5
2010-12-21,1380.0
2010-12-22,1383.0
2010-12-23,1387.0
2010-12-24,1373.5
2010-12-27,1373.5
2010-12-28,1373.5
2010-12-29,1373.5
2010-12-30,1412.5
2011-01-03,1405.5
2011-01-04,1405.5
2011-01-05,1388.5
2011-01-06,1368.0
2011-01-07,1368.5
2011-01-10,1367.0
2011-01-11,1368.25
2011-01-12,1374.0
2011-01-13,1378.75
2011-01-14,1381.5
2011-01-17,1367.0
2011-01-18,1360.5
2011-01-19,1369.5
2011-01-20,1372.0
2011-01-21,1345.5
2011-01-24,1343.5
2011-01-25,1343.0
2011-01-26,1324.0
2011-01-27,1328.0
2011-01-28,1334.5
2011-01-31,1334.5
2011-02-01,1327.0
2011-02-02,1331.5
2011-02-03,1337.0
2011-02-04,1328.0
2011-02-07,1355.0
2011-02-08,1347.5
2011-02-09,1363.5
2011-02-10,1365.0
2011-02-11,1353.25
2011-02-14,1364.0
2011-02-15,1365.0
2011-02-16,1372.75
2011-02-17,1371.25
2011-02-18,1379.0
2011-02-21,1383.5
2011-02-22,1403.0
2011-02-23,1401.0
2011-02-24,1409.25
2011-02-25,1411.5
2011-02-28,1402.5
2011-03-01,1411.0
2011-03-02,1420.75
2011-03-03,1435.5
2011-03-04,1421.5
2011-03-07,1427.0
2011-03-08,1437.5
2011-03-09,1426.25
2011-03-10,1431.0
2011-03-11,1413.25
2011-03-14,1411.5
2011-03-15,1422.25
2011-03-16,1400.5
2011-03-17,1402.0
2011-03-18,1403.75
2011-03-21,1420.0
2011-03-22,1432.0
2011-03-23,1426.0
2011-03-24,1439.5
2011-03-25,1447.0
2011-03-28,1436.0
2011-03-29,1417.0
2011-03-30,1417.5
2011-03-31,1425.5
2011-04-01,1439.0
2011-04-04,1440.0
2011-04-05,1435.5
2011-04-06,1433.5
2011-04-07,1461.5
2011-04-08,1459.5
2011-04-11,1469.5
2011-04-12,1468.0
2011-04-13,1450.5
2011-04-14,1457.5
2011-04-15,1465.75
2011-04-18,1476.75
2011-04-19,1493.0
2011-04-20,1490.5
2011-04-21,1501.0
2011-04-25,1504.0
2011-04-26,1504.0
2011-04-27,1497.5
2011-04-28,1511.0
2011-04-29,1535.5
2011-05-02,1535.5
2011-05-03,1535.5
2011-05-04,1540.25
2011-05-05,1541.0
2011-05-06,1511.0
2011-05-09,1486.5
2011-05-10,1502.0
2011-05-11,1513.5
2011-05-12,1508.0
2011-05-13,1489.5
2011-05-16,1505.75
2011-05-17,1500.75
2011-05-18,1478.5
2011-05-19,1496.5
2011-05-20,1493.0
2011-05-23,1490.75
2011-05-24,1510.5
2011-05-25,1527.0
2011-05-26,1526.25
2011-05-27,1518.5
2011-05-30,1533.0
2011-05-31,1533.0
2011-06-01,1536.5
2011-06-02,1533.75
2011-06-03,1539.5
2011-06-06,1540.0
2011-06-07,1549.0
2011-06-08,1545.0
2011-06-09,1537.75
2011-06-10,1537.75
2011-06-13,1529.25
2011-06-14,1526.25
2011-06-15,1516.0
2011-06-16,1529.75
2011-06-17,1523.25
2011-06-20,1537.5
2011-06-21,1544.0
2011-06-22,1544.75
2011-06-23,1552.5
2011-06-24,1523.0
2011-06-28,1514.75
2011-06-29,1499.0
2011-06-30,1504.25
2011-07-01,1505.5
2011-07-04,1483.0
2011-07-05,1495.0
2011-07-06,1510.0
2011-07-07,1527.25
2011-07-08,1527.5
2011-07-11,1541.5
2011-07-12,1555.5
2011-07-13,1550.5
2011-07-14,1579.0
2011-07-15,1590.5
2011-07-18,1587.0
2011-07-19,1599.0
2011-07-20,1601.0
2011-07-21,1586.0
2011-07-22,1601.0
2011-07-25,1602.0
2011-07-26,1613.5
2011-07-27,1612.75
2011-07-28,1625.0
2011-07-29,1613.5
2011-08-01,1628.5
2011-08-02,1623.0
2011-08-03,1637.75
2011-08-04,1669.25
2011-08-05,1679.5
2011-08-08,1658.75
2011-08-09,1693.0
2011-08-10,1736.0
2011-08-11,1772.0
2011-08-12,1760.0
2011-08-16,1736.0
2011-08-17,1782.5
2011-08-18,1790.0
2011-08-19,1824.0
2011-08-22,1848.0
2011-08-23,1877.5
2011-08-24,1876.0
2011-08-25,1770.0
2011-08-26,1729.0
2011-08-29,1788.0
2011-08-30,1788.0
2011-08-31,1825.0
2011-09-01,1813.5
2011-09-02,1821.0
2011-09-05,1875.25
2011-09-06,1895.0
2011-09-07,1895.0
2011-09-08,1810.0
2011-09-09,1855.0
2011-09-12,1851.0
2011-09-13,1834.0
2011-09-14,1820.0
2011-09-15,1818.5
2011-09-16,1782.0
2011-09-20,1794.0
2011-09-21,1799.0
2011-09-22,1793.0
2011-09-23,1722.0
2011-09-26,1689.0
2011-09-27,1598.0
2011-09-28,1659.0
2011-09-29,1643.0
2011-09-30,1613.0
2011-10-03,1620.0
2011-10-04,1655.5
2011-10-05,1638.0
2011-10-06,1617.0
2011-10-07,1635.0
2011-10-11,1652.0
2011-10-12,1663.0
2011-10-13,1682.0
2011-10-14,1656.0
2011-10-17,1678.0
2011-10-18,1682.0
2011-10-19,1631.0
2011-10-20,1652.5
2011-10-21,1620.0
2011-10-24,1642.5
2011-10-25,1652.0
2011-10-26,1656.0
2011-10-27,1715.0
2011-10-28,1718.0
2011-11-02,1741.0
2011-11-03,1743.0
2011-11-04,1758.0
2011-11-07,1749.0
2011-11-08,1782.0
2011-11-09,1795.0
2011-11-10,1784.0
2011-11-11,1756.0
2011-11-14,1773.0
2011-11-15,1776.0
2011-11-16,1785.0
2011-11-17,1756.0
2011-11-18,1742.5
2011-11-21,1719.0
2011-11-22,1702.0
2011-11-23,1699.0
2011-11-24,1681.0
2011-11-25,1692.5
2011-11-28,1688.5
2011-11-29,1714.0
2011-11-30,1717.0
2011-12-01,1746.0
2011-12-02,1752.0
2011-12-05,1747.0
2011-12-06,1744.0
2011-12-07,1708.0
2011-12-09,1735.5
2011-12-12,1709.0
2011-12-13,1659.5
2011-12-14,1672.5
2011-12-15,1603.0
2011-12-16,1574.0
2011-12-19,1594.0
2011-12-20,1598.0
2011-12-21,1613.5
2011-12-22,1613.5
2011-12-23,1606.5
2011-12-26,1606.5
2011-12-27,1606.5
2011-12-28,1606.5
2011-12-29,1571.0
2011-12-30,1531.0
2012-01-02,1531.0
2012-01-03,1531.0
2012-01-04,1598.0
2012-01-05,1613.0
2012-01-06,1599.0
2012-01-09,1616.5
2012-01-10,1615.0
2012-01-11,1637.0
2012-01-12,1634.5
2012-01-13,1661.0
2012-01-16,1635.5
2012-01-17,1641.0
2012-01-18,1656.0
2012-01-19,1647.0
2012-01-20,1655.0
2012-01-23,1653.0
2012-01-24,1675.5
2012-01-25,1665.5
2012-01-26,1650.0
2012-01-27,1727.0
2012-01-30,1726.0
2012-01-31,1729.0
2012-02-01,1744.0
2012-02-02,1740.0
2012-02-03,1751.0
2012-02-06,1734.0
2012-02-07,1719.0
2012-02-08,1724.0
2012-02-09,1746.0
2012-02-10,1748.0
2012-02-13,1711.5
2012-02-14,1720.0
2012-02-15,1722.0
2012-02-16,1733.0
2012-02-17,1713.0
2012-02-20,1723.0
2012-02-21,1733.0
2012-02-22,1748.0
2012-02-23,1752.0
2012-02-24,1777.0
2012-02-27,1777.5
2012-02-28,1772.0
2012-02-29,1781.0
2012-03-01,1770.0
2012-03-02,1714.0
2012-03-05,1707.0
2012-03-06,1705.0
2012-03-07,1669.0
2012-03-08,1677.5
2012-03-09,1690.0
2012-03-12,1687.5
2012-03-13,1697.5
2012-03-14,1690.0
2012-03-15,1644.25
2012-03-16,1648.0
2012-03-19,1658.0
2012-03-20,1661.5
2012-03-21,1656.75
2012-03-22,1649.25
2012-03-23,1635.5
