statistic,value
s0,4326.6517
n_steps,252.0
n_paths,100000.0
mu_daily,0.0004281573561207
sigma_daily,0.0101964359674875
mean_final_price,4818.705057535673
std_final_price,783.4533016544426
p5_final_price,3648.8478981233125
p50_final_price,4755.550182808791
p95_final_price,6199.868543563006
min_final_price,2033.334507694876
max_final_price,9282.65272351239
